timestamp,protocol,chain_id,block_number,transaction_hash,user_address,token_in,token_out,amount_in,amount_out,affiliate_fee,volume_usd,affiliate_fee_usd
,relay,,32900098,,,,,,,,1755899399,20311466
,relay,,32900101,,,,,,,,1755899404,21811838
,relay,,32900101,,,,,,,,1755899404,21811838
,relay,,32900101,,,,,,,,1755899404,21811838
,relay,,32900102,,,,,,,,1755899405,19890236
,relay,,32900102,,,,,,,,1755899405,19890236
,relay,,32900102,,,,,,,,1755899405,19890236
,relay,,32900109,,,,,,,,1755899415,18068588
,relay,,32900109,,,,,,,,1755899415,18068588
,relay,,32900109,,,,,,,,1755899416,21226500
,relay,,32900109,,,,,,,,1755899416,21226500
,relay,,32900109,,,,,,,,1755899417,21226500
,relay,,32900114,,,,,,,,1755899423,24858491
,relay,,32900114,,,,,,,,1755899424,24858491
,relay,,32900114,,,,,,,,1755899424,24858491
,relay,,32900114,,,,,,,,1755899424,24858491
,relay,,32900114,,,,,,,,1755899425,24858491
,relay,,32900114,,,,,,,,1755899425,24858491
,relay,,32900116,,,,,,,,1755899426,37400000
,relay,,32900116,,,,,,,,1755899426,37400000
,relay,,32900116,,,,,,,,1755899426,37400000
,relay,,32900117,,,,,,,,1755899427,18572179
,relay,,32900117,,,,,,,,1755899427,18572179
,relay,,32900117,,,,,,,,1755899427,18572179
,relay,,32900117,,,,,,,,1755899428,18572179
,relay,,32900117,,,,,,,,1755899428,18572179
,relay,,32900117,,,,,,,,1755899428,18572179
,relay,,32900120,,,,,,,,1755899431,32458631
,relay,,32900120,,,,,,,,1755899431,32458631
,relay,,32900120,,,,,,,,1755899432,32458631
,relay,,32900122,,,,,,,,1755899432,22173460
,relay,,32900122,,,,,,,,1755899433,22173460
,relay,,32900122,,,,,,,,1755899433,22173460
,relay,,32900122,,,,,,,,1755899433,22173460
,relay,,32900122,,,,,,,,1755899434,22173460
,relay,,32900122,,,,,,,,1755899434,22173460
,relay,,32900131,,,,,,,,1755899444,17543523
,relay,,32900131,,,,,,,,1755899444,17543523
,relay,,32900131,,,,,,,,1755899444,17543523
,relay,,32900131,,,,,,,,1755899445,17543523
,relay,,32900131,,,,,,,,1755899445,17543523
,relay,,32900131,,,,,,,,1755899445,17543523
,relay,,32900134,,,,,,,,1755899451,31301747
,relay,,32900134,,,,,,,,1755899451,31301747
,relay,,32900134,,,,,,,,1755899452,31301747
,relay,,32900147,,,,,,,,1755899477,25726436
,relay,,32900147,,,,,,,,1755899477,25726436
,relay,,32900147,,,,,,,,1755899477,25726436
,relay,,32900147,,,,,,,,1755899478,22449862
,relay,,32900147,,,,,,,,1755899478,22449862
,relay,,32900147,,,,,,,,1755899478,22449862
,relay,,32900147,,,,,,,,1755899479,22449862
,relay,,32900147,,,,,,,,1755899479,22449862
,relay,,32900147,,,,,,,,1755899479,22449862
,relay,,32900148,,,,,,,,1755899480,35699917
,relay,,32900148,,,,,,,,1755899480,35699917
,relay,,32900148,,,,,,,,1755899480,35699917
,relay,,32900148,,,,,,,,1755899481,17761671
,relay,,32900148,,,,,,,,1755899481,17761671
,relay,,32900148,,,,,,,,1755899481,17761671
,relay,,32900150,,,,,,,,1755899484,28710885
,relay,,32900150,,,,,,,,1755899485,28710885
,relay,,32900150,,,,,,,,1755899485,28710885
,relay,,32900150,,,,,,,,1755899485,28710885
,relay,,32900150,,,,,,,,1755899486,33310421
,relay,,32900150,,,,,,,,1755899486,33310421
,relay,,32900150,,,,,,,,1755899486,33310421
,relay,,32900151,,,,,,,,1755899487,19683750
,relay,,32900151,,,,,,,,1755899488,19683750
,relay,,32900151,,,,,,,,1755899488,19683750
,relay,,32900151,,,,,,,,1755899488,30797977
,relay,,32900151,,,,,,,,1755899489,30797977
,relay,,32900151,,,,,,,,1755899489,30797977
,relay,,32900152,,,,,,,,1755899489,16910273
,relay,,32900152,,,,,,,,1755899490,16910273
,relay,,32900152,,,,,,,,1755899490,16910273
,relay,,32900152,,,,,,,,1755899490,19619401
,relay,,32900152,,,,,,,,1755899491,19619401
,relay,,32900152,,,,,,,,1755899491,19619401
,relay,,32900152,,,,,,,,1755899491,19619401
,relay,,32900152,,,,,,,,1755899492,19619401
,relay,,32900152,,,,,,,,1755899492,19619401
,relay,,32900152,,,,,,,,1755899492,78100000
,relay,,32900152,,,,,,,,1755899493,78100000
,relay,,32900152,,,,,,,,1755899493,78100000
,relay,,32900152,,,,,,,,1755899493,19619401
,relay,,32900152,,,,,,,,1755899493,19619401
,relay,,32900152,,,,,,,,1755899494,19619401
,relay,,32900153,,,,,,,,1755899494,20230445
,relay,,32900153,,,,,,,,1755899494,20230445
,relay,,32900153,,,,,,,,1755899495,20230445
,relay,,32900153,,,,,,,,1755899496,16705726
,relay,,32900153,,,,,,,,1755899496,16705726
,relay,,32900153,,,,,,,,1755899496,16705726
,relay,,32900153,,,,,,,,1755899496,16973628
,relay,,32900153,,,,,,,,1755899497,16973628
,relay,,32900153,,,,,,,,1755899497,16973628
,relay,,32900154,,,,,,,,1755899497,33600000
,relay,,32900154,,,,,,,,1755899498,33600000
,relay,,32900154,,,,,,,,1755899498,33600000
,relay,,32900154,,,,,,,,1755899499,18312174
,relay,,32900154,,,,,,,,1755899499,18312174
,relay,,32900154,,,,,,,,1755899499,18312174
,relay,,32900154,,,,,,,,1755899500,18312174
,relay,,32900154,,,,,,,,1755899500,20164640
,relay,,32900154,,,,,,,,1755899500,20164640
,relay,,32900154,,,,,,,,1755899501,20164640
,relay,,32900154,,,,,,,,1755899501,20164640
,relay,,32900154,,,,,,,,1755899501,20164640
,relay,,32900154,,,,,,,,1755899501,20164640
,relay,,32900154,,,,,,,,1755899502,20164640
,relay,,32900154,,,,,,,,1755899502,20164640
,relay,,32900154,,,,,,,,1755899502,20164640
,relay,,32900155,,,,,,,,1755899504,78100000
,relay,,32900155,,,,,,,,1755899504,78100000
,relay,,32900155,,,,,,,,1755899504,78100000
,relay,,32900156,,,,,,,,1755899505,33200000
,relay,,32900156,,,,,,,,1755899505,33200000
,relay,,32900156,,,,,,,,1755899505,33200000
,relay,,32900156,,,,,,,,1755899506,33200000
,relay,,32900156,,,,,,,,1755899506,33200000
,relay,,32900156,,,,,,,,1755899506,33200000
,relay,,32900156,,,,,,,,1755899507,17050175
,relay,,32900156,,,,,,,,1755899507,17050175
,relay,,32900156,,,,,,,,1755899507,17050175
,relay,,32900156,,,,,,,,1755899507,17050175
,relay,,32900156,,,,,,,,1755899508,17050175
,relay,,32900156,,,,,,,,1755899508,17050175
,relay,,32900157,,,,,,,,1755899510,16814643
,relay,,32900157,,,,,,,,1755899510,16814643
,relay,,32900157,,,,,,,,1755899510,16814643
,relay,,32900158,,,,,,,,1755899511,17285453
,relay,,32900158,,,,,,,,1755899511,17285453
,relay,,32900158,,,,,,,,1755899511,17285453
,relay,,32900158,,,,,,,,1755899511,17874609
,relay,,32900158,,,,,,,,1755899512,17874609
,relay,,32900158,,,,,,,,1755899512,17874609
,relay,,32900158,,,,,,,,1755899512,17874609
,relay,,32900158,,,,,,,,1755899513,17874609
,relay,,32900158,,,,,,,,1755899513,17874609
,relay,,32900158,,,,,,,,1755899513,17874609
,relay,,32900158,,,,,,,,1755899513,17874609
,relay,,32900158,,,,,,,,1755899514,17874609
,relay,,32900158,,,,,,,,1755899514,17874609
,relay,,32900158,,,,,,,,1755899514,17874609
,relay,,32900158,,,,,,,,1755899515,17874609
,relay,,32900159,,,,,,,,1755899516,16735269
,relay,,32900159,,,,,,,,1755899516,16735269
,relay,,32900159,,,,,,,,1755899516,16735269
,relay,,32900159,,,,,,,,1755899517,30646529
,relay,,32900159,,,,,,,,1755899517,30646529
,relay,,32900159,,,,,,,,1755899517,30646529
,relay,,32900159,,,,,,,,1755899518,28448316
,relay,,32900159,,,,,,,,1755899518,28448316
,relay,,32900159,,,,,,,,1755899518,28448316
,relay,,32900159,,,,,,,,1755899519,28448316
,relay,,32900159,,,,,,,,1755899519,28448316
,relay,,32900159,,,,,,,,1755899519,28448316
,relay,,32900164,,,,,,,,1755899528,75800000
,relay,,32900164,,,,,,,,1755899528,75800000
,relay,,32900164,,,,,,,,1755899529,75800000
,relay,,32900164,,,,,,,,1755899531,32600000
,relay,,32900164,,,,,,,,1755899531,32600000
,relay,,32900164,,,,,,,,1755899531,32600000
,relay,,32900166,,,,,,,,1755899534,39962759
,relay,,32900166,,,,,,,,1755899535,39962759
,relay,,32900166,,,,,,,,1755899535,39962759
,relay,,32900168,,,,,,,,1755899541,39885942
,relay,,32900168,,,,,,,,1755899542,39885942
,relay,,32900168,,,,,,,,1755899542,39885942
,relay,,32900168,,,,,,,,1755899542,39885942
,relay,,32900168,,,,,,,,1755899543,39885942
,relay,,32900168,,,,,,,,1755899543,39885942
,relay,,32900168,,,,,,,,1755899544,16479952
,relay,,32900168,,,,,,,,1755899544,16479952
,relay,,32900168,,,,,,,,1755899544,16479952
,relay,,32900168,,,,,,,,1755899544,16479952
,relay,,32900168,,,,,,,,1755899545,16479952
,relay,,32900168,,,,,,,,1755899545,16479952
,relay,,32900169,,,,,,,,1755899548,32600000
,relay,,32900169,,,,,,,,1755899549,32600000
,relay,,32900169,,,,,,,,1755899549,32600000
,relay,,32900169,,,,,,,,1755899549,32600000
,relay,,32900169,,,,,,,,1755899549,32600000
,relay,,32900169,,,,,,,,1755899550,32600000
,relay,,32900171,,,,,,,,1755899554,39807418
,relay,,32900171,,,,,,,,1755899555,39807418
,relay,,32900171,,,,,,,,1755899555,39807418
,relay,,32900171,,,,,,,,1755899555,39807418
,relay,,32900171,,,,,,,,1755899556,39807418
,relay,,32900171,,,,,,,,1755899556,39807418
,relay,,32900172,,,,,,,,1755899562,16484736
,relay,,32900172,,,,,,,,1755899562,16484736
,relay,,32900172,,,,,,,,1755899563,16484736
,relay,,32900173,,,,,,,,1755899566,16312267
,relay,,32900173,,,,,,,,1755899567,16312267
,relay,,32900173,,,,,,,,1755899567,16312267
,relay,,32900173,,,,,,,,1755899567,16312267
,relay,,32900173,,,,,,,,1755899569,16521376
,relay,,32900173,,,,,,,,1755899569,16521376
,relay,,32900173,,,,,,,,1755899569,16521376
,relay,,32900175,,,,,,,,1755899574,16169630
,relay,,32900175,,,,,,,,1755899574,16169630
,relay,,32900175,,,,,,,,1755899574,16169630
,relay,,32900175,,,,,,,,1755899575,16665507
,relay,,32900175,,,,,,,,1755899575,16665507
,relay,,32900175,,,,,,,,1755899576,16665507
,relay,,32900175,,,,,,,,1755899576,16665507
,relay,,32900175,,,,,,,,1755899576,16665507
,relay,,32900175,,,,,,,,1755899576,16665507
,relay,,32900175,,,,,,,,1755899577,30169630
,relay,,32900175,,,,,,,,1755899578,30169630
,relay,,32900175,,,,,,,,1755899578,30169630
,relay,,32900176,,,,,,,,1755899579,16548788
,relay,,32900176,,,,,,,,1755899579,16548788
,relay,,32900176,,,,,,,,1755899579,16548788
,relay,,32900176,,,,,,,,1755899580,16548788
,relay,,32900176,,,,,,,,1755899580,16548788
,relay,,32900176,,,,,,,,1755899580,16548788
